pair_id,page_title,variant,date,pageviews
70,Volodymyr the Great,ukrainian,2023-12-01,779
70,Volodymyr the Great,ukrainian,2024-01-01,913
70,Volodymyr the Great,ukrainian,2024-02-01,969
70,Volodymyr the Great,ukrainian,2024-03-01,756
70,Volodymyr the Great,ukrainian,2024-04-01,484
70,Volodymyr the Great,ukrainian,2024-05-01,527
70,Volodymyr the Great,ukrainian,2024-06-01,502
70,Volodymyr the Great,ukrainian,2024-07-01,435
70,Volodymyr the Great,ukrainian,2024-08-01,495
70,Volodymyr the Great,ukrainian,2024-09-01,750
70,Volodymyr the Great,ukrainian,2024-10-01,1211
70,Volodymyr the Great,ukrainian,2024-11-01,504
70,Volodymyr the Great,ukrainian,2024-12-01,556
70,Volodymyr the Great,ukrainian,2025-01-01,492
70,Volodymyr the Great,ukrainian,2025-02-01,600
70,Volodymyr the Great,ukrainian,2025-03-01,1113
70,Volodymyr the Great,ukrainian,2025-04-01,504
70,Volodymyr the Great,ukrainian,2025-05-01,812
70,Volodymyr the Great,ukrainian,2025-06-01,525
70,Volodymyr the Great,ukrainian,2025-07-01,484
70,Volodymyr the Great,ukrainian,2025-08-01,530
70,Volodymyr the Great,ukrainian,2025-09-01,457
70,Volodymyr the Great,ukrainian,2025-10-01,358
70,Volodymyr the Great,ukrainian,2025-11-01,403
70,Volodymyr the Great,ukrainian,2025-12-01,402
70,Volodymyr the Great,ukrainian,2026-01-01,352
70,Volodymyr the Great,ukrainian,2026-02-01,352
70,Volodymyr the Great,ukrainian,2026-03-01,356
70,Volodymyr the Great,ukrainian,2026-04-01,31
